frame_idx,total_processing_ms
1,101.972
2,157.963
3,178.172
4,143.742
5,133.726
6,138.472
7,132.340
8,148.624
9,138.490
10,110.844
11,107.779
12,146.122
13,119.368
14,106.502
15,114.554
16,122.994
17,131.187
18,124.007
19,124.131
20,130.889
21,126.363
22,113.864
23,117.646
24,148.870
25,140.131
26,108.418
27,127.773
28,159.125
29,133.865
30,161.542
31,144.203
32,117.699
33,106.280
34,130.219
35,150.831
36,134.266
37,103.385
38,124.257
39,141.142
40,161.491
41,128.630
42,146.039
43,121.570
44,137.335
45,139.978
46,156.798
47,118.608
48,142.841
49,112.827
50,177.680
51,136.242
52,136.050
53,130.695
54,124.355
55,116.338
56,131.694
57,139.280
58,147.709
59,138.325
60,130.849
61,131.888
62,150.815
63,122.327
64,126.829
65,116.060
66,153.929
67,118.834
68,136.820
69,133.376
70,123.704
71,117.971
72,137.990
73,135.020
74,129.384
75,124.495
76,123.193
77,121.812
78,152.432
79,116.640
80,146.287
81,119.247
82,126.298
83,113.434
84,153.697
85,132.408
86,130.711
87,120.537
88,140.171
89,121.630
90,132.156
91,123.059
92,120.074
93,120.407
94,147.012
95,128.416
96,153.979
97,119.318
98,130.977
99,120.504
100,130.525
101,140.215
102,148.204
103,124.610
104,137.582
105,130.492
106,129.392
107,118.560
108,154.772
109,123.164
110,132.776
111,127.409
112,119.586
113,124.173
114,162.333
115,122.321
116,128.848
117,124.644
118,122.934
119,115.121
120,144.788
121,137.620
122,131.806
123,132.752
124,126.913
125,132.500
126,146.533
127,123.680
128,141.405
129,137.821
130,155.017
131,139.376
132,138.342
133,130.313
134,153.346
135,129.409
136,130.095
137,125.768
138,124.096
139,128.113
140,147.769
141,140.212
142,140.835
143,121.221
144,123.318
145,125.563
146,172.370
147,130.792
148,160.356
149,132.974
150,130.494
151,121.931
152,132.104
153,144.053
154,133.855
155,121.950
156,140.812
157,151.351
158,140.958
159,106.758
160,128.971
161,131.141
162,130.165
163,122.671
164,148.525
165,139.997
166,131.049
167,115.986
168,126.424
169,138.121
170,130.266
171,149.601
172,146.292
173,141.193
174,129.467
175,116.051
176,161.488
177,147.371
178,133.620
179,157.804
180,179.234
181,157.198
182,128.832
183,108.671
184,138.098
185,139.457
186,127.854
187,115.432
188,148.431
189,128.892
190,133.402
191,137.676
192,145.247
193,154.858
194,146.233
195,159.103
196,155.038
197,179.388
198,138.555
199,137.665
200,127.246
201,139.617
202,122.666
203,142.807
204,149.130
205,128.741
206,121.296
207,143.506
208,130.378
209,122.683
210,130.762
211,133.733
212,124.046
213,150.537
214,150.085
215,135.784
216,126.999
217,140.238
218,144.025
219,177.552
220,171.771
221,145.251
222,149.788
223,114.883
224,132.252
225,125.263
226,148.139
227,133.772
228,138.745
229,128.624
230,138.868
231,122.529
232,159.823
233,124.639
234,148.371
235,118.759
236,133.230
237,125.425
238,158.250
239,146.630
240,141.130
241,141.853
242,145.984
243,144.908
244,201.958
245,158.487
246,142.758
247,137.043
248,135.876
249,140.051
250,123.928
251,134.332
252,125.470
253,138.778
