frame_idx,capture_unix_ns,wall_time_iso,cam1_monotonic_ns,cam2_monotonic_ns,camera_skew_ms
1,1787213528942517100,2026-08-20T15:12:08.942+07:00,698461127442300,698461137400900,9.959
2,1787213529146646600,2026-08-20T15:12:09.146+07:00,698461494857300,698461479441600,15.416
3,1787213529290981500,2026-08-20T15:12:09.290+07:00,698461642860300,698461591714900,51.145
4,1787213529468667000,2026-08-20T15:12:09.468+07:00,698461806829900,698461774434700,32.395
5,1787213529703836300,2026-08-20T15:12:09.703+07:00,698462007203100,698462017599500,10.396
6,1787213529891332300,2026-08-20T15:12:09.891+07:00,698462212120500,698462210727200,1.393
7,1787213530111456300,2026-08-20T15:12:10.111+07:00,698462407704500,698462429681800,21.977
8,1787213530317214000,2026-08-20T15:12:10.317+07:00,698462625427900,698462603205900,22.222
9,1787213530499142000,2026-08-20T15:12:10.499+07:00,698462829983400,698462848840500,18.857
10,1787213530671682800,2026-08-20T15:12:10.671+07:00,698463034927000,698463033984200,0.943
11,1787213530811573700,2026-08-20T15:12:10.811+07:00,698463204856900,698463210876000,6.019
12,1787213530921626000,2026-08-20T15:12:10.921+07:00,698463313988900,698463327108200,13.119
13,1787213531047534100,2026-08-20T15:12:11.047+07:00,698463456502600,698463455896200,0.606
14,1787213531184061400,2026-08-20T15:12:11.184+07:00,698463560364900,698463564228900,3.864
15,1787213531323471100,2026-08-20T15:12:11.323+07:00,698463704337300,698463690885200,13.452
16,1787213531440222700,2026-08-20T15:12:11.440+07:00,698463827238000,698463804127400,23.111
17,1787213531559845100,2026-08-20T15:12:11.559+07:00,698463950637700,698463929846500,20.791
18,1787213531685319600,2026-08-20T15:12:11.685+07:00,698464077789000,698464044494000,33.295
19,1787213531820282000,2026-08-20T15:12:11.820+07:00,698464201644800,698464221301100,19.656
20,1787213531953963700,2026-08-20T15:12:11.953+07:00,698464320509800,698464351407700,30.898
21,1787213532069684900,2026-08-20T15:12:12.069+07:00,698464446095200,698464463022400,16.927
22,1787213532206853200,2026-08-20T15:12:12.206+07:00,698464595001000,698464585838200,9.163
23,1787213532337137700,2026-08-20T15:12:12.337+07:00,698464726039000,698464709518200,16.521
24,1787213532456701300,2026-08-20T15:12:12.456+07:00,698464846641700,698464823902600,22.739
25,1787213532580931400,2026-08-20T15:12:12.580+07:00,698464987671900,698464954387900,33.284
26,1787213532692446900,2026-08-20T15:12:12.692+07:00,698465080327700,698465069711300,10.616
27,1787213532816112400,2026-08-20T15:12:12.816+07:00,698465208480400,698465207714900,0.765
28,1787213532943933400,2026-08-20T15:12:12.943+07:00,698465322561600,698465313232000,9.330
29,1787213533077302600,2026-08-20T15:12:13.077+07:00,698465448841600,698465425531200,23.310
30,1787213533198384300,2026-08-20T15:12:13.198+07:00,698465594630000,698465610583300,15.953
31,1787213533327261900,2026-08-20T15:12:13.327+07:00,698465731547800,698465730336900,1.211
32,1787213533456463200,2026-08-20T15:12:13.456+07:00,698465837568600,698465845463700,7.895
33,1787213533581478500,2026-08-20T15:12:13.581+07:00,698465953697500,698465965620000,11.922
34,1787213533701077800,2026-08-20T15:12:13.701+07:00,698466071191900,698466086978600,15.787
35,1787213533818084800,2026-08-20T15:12:13.818+07:00,698466202644300,698466211562200,8.918
36,1787213533940970600,2026-08-20T15:12:13.940+07:00,698466338795200,698466338015100,0.780
37,1787213534063669600,2026-08-20T15:12:14.063+07:00,698466469669400,698466386032400,83.637
38,1787213534177360200,2026-08-20T15:12:14.177+07:00,698466565849300,698466570397800,4.548
39,1787213534289857800,2026-08-20T15:12:14.289+07:00,698466681097900,698466689492800,8.395
40,1787213534395190900,2026-08-20T15:12:14.395+07:00,698466823318600,698466817225800,6.093
41,1787213534536410200,2026-08-20T15:12:14.536+07:00,698466931079300,698466930167700,0.912
42,1787213534647089100,2026-08-20T15:12:14.647+07:00,698467059342300,698467058618300,0.724
43,1787213534763504500,2026-08-20T15:12:14.763+07:00,698467138264000,698467105274800,32.989
44,1787213534873929100,2026-08-20T15:12:14.873+07:00,698467246770800,698467296898200,50.127
45,1787213534980719100,2026-08-20T15:12:14.980+07:00,698467375698300,698467352555900,23.142
46,1787213535100032200,2026-08-20T15:12:15.100+07:00,698467485971200,698467468510500,17.461
47,1787213535216246500,2026-08-20T15:12:15.216+07:00,698467619862500,698467598495100,21.367
48,1787213535333306200,2026-08-20T15:12:15.333+07:00,698467740784100,698467715569600,25.215
49,1787213535449622500,2026-08-20T15:12:15.449+07:00,698467850078500,698467829849700,20.229
50,1787213535551188500,2026-08-20T15:12:15.551+07:00,698467964789900,698467946392900,18.397
51,1787213535681876700,2026-08-20T15:12:15.681+07:00,698468086355200,698468070846200,15.509
52,1787213535812985000,2026-08-20T15:12:15.812+07:00,698468217165000,698468201172000,15.993
53,1787213535925185600,2026-08-20T15:12:15.925+07:00,698468324649300,698468307543600,17.106
54,1787213536040607800,2026-08-20T15:12:16.040+07:00,698468449410500,698468428663900,20.747
55,1787213536145141900,2026-08-20T15:12:16.145+07:00,698468569450000,698468559885300,9.565
56,1787213536258076900,2026-08-20T15:12:16.258+07:00,698468650067200,698468667467300,17.400
57,1787213536375305300,2026-08-20T15:12:16.375+07:00,698468783828800,698468791648300,7.819
58,1787213536485891300,2026-08-20T15:12:16.485+07:00,698468901817600,698468859160000,42.658
59,1787213536595761400,2026-08-20T15:12:16.595+07:00,698469021388600,698468980407600,40.981
60,1787213536700181700,2026-08-20T15:12:16.700+07:00,698469103381900,698469088009500,15.372
61,1787213536817987800,2026-08-20T15:12:16.817+07:00,698469220448400,698469218912100,1.536
62,1787213536949318900,2026-08-20T15:12:16.949+07:00,698469340585200,698469326940100,13.645
63,1787213537071435900,2026-08-20T15:12:17.071+07:00,698469470286100,698469446746300,23.540
64,1787213537189038100,2026-08-20T15:12:17.189+07:00,698469591007100,698469574835500,16.172
65,1787213537298033700,2026-08-20T15:12:17.298+07:00,698469708273900,698469688995200,19.279
66,1787213537417956900,2026-08-20T15:12:17.417+07:00,698469826094400,698469807732100,18.362
67,1787213537534210500,2026-08-20T15:12:17.534+07:00,698469947352600,698469933328700,14.024
68,1787213537648747500,2026-08-20T15:12:17.648+07:00,698470061427600,698470052984200,8.443
69,1787213537766221300,2026-08-20T15:12:17.766+07:00,698470139089300,698470171283400,32.194
70,1787213537872771900,2026-08-20T15:12:17.872+07:00,698470264927500,698470236677000,28.250
71,1787213538003663700,2026-08-20T15:12:18.003+07:00,698470384228800,698470407549700,23.321
72,1787213538115916200,2026-08-20T15:12:18.115+07:00,698470513841800,698470529843200,16.001
73,1787213538235272000,2026-08-20T15:12:18.235+07:00,698470636889100,698470591841500,45.048
74,1787213538348192300,2026-08-20T15:12:18.348+07:00,698470737628100,698470766874600,29.247
75,1787213538456580800,2026-08-20T15:12:18.456+07:00,698470861999900,698470832967200,29.033
76,1787213538577512300,2026-08-20T15:12:18.577+07:00,698470980757300,698470949714900,31.042
