frame_idx,total_processing_ms
1,1164.055
2,134.485
3,512.788
4,522.879
5,180.447
6,563.306
7,527.182
8,167.827
9,543.634
10,441.298
11,168.569
12,128.847
13,365.075
14,353.166
15,121.843
16,116.538
17,116.028
18,346.140
19,368.010
20,115.296
21,122.280
22,290.072
23,110.191
24,293.114
25,111.534
26,106.883
27,305.167
28,88.958
29,292.062
30,106.018
31,300.129
32,106.781
33,302.814
34,100.580
35,101.203
36,296.238
37,102.773
38,280.653
39,102.597
40,87.141
41,288.908
42,95.308
43,293.459
44,84.200
45,99.341
46,289.919
47,102.167
48,281.350
49,92.139
50,90.420
51,299.608
52,88.792
53,304.581
54,86.360
55,98.945
56,278.721
57,103.461
58,291.780
59,90.688
60,91.557
61,289.719
62,102.868
63,282.082
64,104.522
65,91.246
66,288.211
67,88.148
68,298.498
69,93.449
70,106.015
71,285.826
72,98.554
73,301.975
74,113.206
75,99.425
76,293.153
77,104.845
78,300.429
79,89.527
80,95.959
81,251.308
82,90.558
83,259.780
84,87.096
85,254.564
86,87.432
87,87.865
88,257.516
89,84.377
90,285.393
91,100.577
92,295.209
93,103.177
94,319.320
95,101.029
96,339.195
97,198.992
98,491.288
99,173.946
100,533.569
101,163.049
102,490.920
103,167.252
104,400.088
105,119.706
106,302.230
107,101.393
108,109.507
109,277.975
110,102.718
111,273.604
112,105.048
113,95.411
114,283.870
115,103.171
116,293.953
117,88.874
118,109.055
119,273.835
120,105.877
121,277.020
122,105.402
123,103.010
124,280.847
125,92.429
126,299.524
127,106.879
128,108.670
129,278.711
130,116.055
131,288.709
132,107.192
133,104.557
134,289.714
135,85.838
136,233.702
137,76.419
138,79.447
139,237.157
140,78.518
141,232.442
142,72.193
143,80.010
144,73.490
145,230.300
146,75.953
147,223.111
148,81.451
149,79.542
150,73.049
151,218.665
152,76.762
153,228.704
154,76.551
155,79.454
156,211.235
157,75.719
158,84.833
159,225.223
160,74.768
161,88.890
162,223.930
163,74.218
164,228.261
165,91.616
166,94.138
167,227.318
168,79.176
169,233.525
170,85.588
171,90.223
172,81.800
173,217.698
174,77.574
175,212.230
176,81.848
177,77.155
178,81.947
179,231.082
180,75.187
181,227.475
182,87.621
183,84.087
184,79.013
185,241.856
186,77.499
187,222.945
188,81.257
189,84.042
190,220.727
191,86.956
192,90.963
193,228.744
194,112.817
195,85.072
196,224.411
197,87.598
198,224.361
199,83.521
200,86.069
201,219.586
202,87.638
203,223.708
204,90.068
205,76.840
206,85.463
207,227.521
208,221.092
209,83.639
210,77.854
211,87.013
212,85.991
213,214.296
214,218.431
215,79.490
216,96.226
217,76.301
218,88.917
219,366.684
220,73.879
221,75.089
222,84.902
223,82.649
224,226.757
225,424.486
226,169.112
227,146.594
228,116.020
229,247.944
230,224.158
231,85.711
232,84.381
233,82.495
234,229.585
235,232.670
236,74.709
237,88.493
238,81.536
239,85.428
240,226.024
241,239.983
242,85.853
243,79.614
244,87.326
245,236.956
246,230.494
247,85.723
248,92.268
249,82.285
250,223.202
251,226.332
252,77.479
253,89.028
254,75.674
255,89.589
256,224.191
257,219.668
258,86.096
259,77.337
260,75.805
261,83.196
262,219.564
263,225.397
264,71.993
265,84.206
266,76.195
267,85.555
268,223.115
269,227.832
270,75.455
271,83.514
272,76.504
273,238.585
274,222.460
275,84.075
276,77.744
277,82.515
278,217.910
279,75.560
280,225.397
281,77.185
282,88.662
283,213.495
284,83.677
285,244.331
286,97.495
287,100.408
288,240.584
289,91.023
290,242.166
291,86.187
292,87.864
293,225.656
294,82.091
295,236.866
296,78.873
297,81.909
298,87.087
299,225.581
300,86.387
301,232.595
302,76.233
303,84.304
304,72.504
305,226.050
306,82.658
307,225.124
308,73.648
309,87.569
310,80.493
311,263.869
312,88.441
313,248.751
314,77.217
315,89.197
316,85.224
317,220.356
318,93.411
319,375.589
320,166.044
321,152.335
322,374.362
323,102.691
324,82.970
325,254.917
326,86.167
327,79.315
328,247.329
329,81.171
330,77.200
331,234.126
332,86.159
333,79.984
334,241.892
335,82.446
336,77.538
337,252.945
338,83.547
339,87.153
340,241.621
341,82.315
342,80.498
343,234.149
344,84.288
345,222.818
346,83.855
347,85.380
348,231.090
349,92.013
350,235.103
351,82.151
352,90.154
353,235.710
354,87.417
355,239.013
356,75.673
357,92.037
358,72.980
359,248.583
360,87.293
361,215.542
362,80.742
363,80.963
364,226.411
365,69.689
366,201.495
367,89.411
368,83.713
369,78.881
370,207.010
371,71.664
372,216.607
373,78.982
374,75.171
375,82.925
376,209.003
377,204.035
378,77.643
379,74.959
380,75.825
381,71.146
382,194.933
383,196.722
384,65.889
385,83.742
386,81.493
387,75.153
388,196.995
389,207.570
390,74.426
391,78.558
392,78.954
393,83.610
394,333.375
395,78.849
396,78.330
397,75.034
398,83.176
