frame_idx,capture_unix_ns,wall_time_iso,cam1_monotonic_ns,cam2_monotonic_ns,camera_skew_ms
1,1787676907473103800,2026-08-25T23:55:07.473+07:00,95306852161400,95306887343100,35.182
2,1787676907550171900,2026-08-25T23:55:07.550+07:00,95306979908200,95306993953300,14.045
3,1787676907692482600,2026-08-25T23:55:07.692+07:00,95307063133400,95307108332900,45.200
4,1787676907791420600,2026-08-25T23:55:07.791+07:00,95307182310800,95307138882200,43.429
5,1787676907906962400,2026-08-25T23:55:07.906+07:00,95307288560700,95307300823900,12.263
6,1787676908015611000,2026-08-25T23:55:08.015+07:00,95307391512500,95307372779200,18.733
7,1787676908176674300,2026-08-25T23:55:08.176+07:00,95307517132300,95307500796200,16.336
8,1787676908282434400,2026-08-25T23:55:08.282+07:00,95307684535700,95307662911400,21.624
9,1787676908391332400,2026-08-25T23:55:08.391+07:00,95307785528500,95307785372600,0.156
10,1787676908495527600,2026-08-25T23:55:08.495+07:00,95307900531500,95307899773200,0.758
11,1787676908618980200,2026-08-25T23:55:08.618+07:00,95308016201500,95307966430500,49.771
12,1787676908733028300,2026-08-25T23:55:08.733+07:00,95308096065400,95308086841400,9.224
13,1787676908871863700,2026-08-25T23:55:08.871+07:00,95308230175400,95308205337200,24.838
14,1787676908973049500,2026-08-25T23:55:08.973+07:00,95308396936800,95308376761600,20.175
15,1787676909106146400,2026-08-25T23:55:09.106+07:00,95308489500300,95308500993500,11.493
16,1787676909220173100,2026-08-25T23:55:09.220+07:00,95308610821200,95308620131100,9.310
17,1787676909341820100,2026-08-25T23:55:09.341+07:00,95308698344700,95308698147700,0.197
18,1787676909494356700,2026-08-25T23:55:09.494+07:00,95308823897600,95308861615300,37.718
19,1787676909656785600,2026-08-25T23:55:09.656+07:00,95308998468600,95308976970800,21.498
20,1787676909792522900,2026-08-25T23:55:09.792+07:00,95309160942200,95309160569700,0.372
21,1787676909910824500,2026-08-25T23:55:09.910+07:00,95309283494400,95309283078500,0.416
22,1787676910026141600,2026-08-25T23:55:10.026+07:00,95309410953300,95309410193200,0.760
23,1787676910151887400,2026-08-25T23:55:10.151+07:00,95309542844700,95309524861000,17.984
24,1787676910277545800,2026-08-25T23:55:10.277+07:00,95309664792000,95309642473000,22.319
25,1787676910406590700,2026-08-25T23:55:10.406+07:00,95309784715700,95309762734800,21.981
26,1787676910508550800,2026-08-25T23:55:10.508+07:00,95309906852400,95309893939700,12.913
27,1787676910629516100,2026-08-25T23:55:10.629+07:00,95309996836300,95310001502800,4.667
28,1787676910765697200,2026-08-25T23:55:10.765+07:00,95310122202900,95310124912600,2.710
29,1787676910898999000,2026-08-25T23:55:10.899+07:00,95310290114600,95310245863800,44.251
30,1787676911062851900,2026-08-25T23:55:11.062+07:00,95310411558200,95310424582400,13.024
31,1787676911196767700,2026-08-25T23:55:11.196+07:00,95310580982400,95310541706900,39.276
32,1787676911323020400,2026-08-25T23:55:11.323+07:00,95310699118300,95310667132200,31.986
33,1787676911457534900,2026-08-25T23:55:11.457+07:00,95310837151900,95310843711700,6.560
34,1787676911608842700,2026-08-25T23:55:11.608+07:00,95310974361000,95310974179100,0.182
35,1787676911726780900,2026-08-25T23:55:11.726+07:00,95311123172600,95311086599400,36.573
36,1787676911842219200,2026-08-25T23:55:11.842+07:00,95311211916500,95311211711300,0.205
37,1787676911976940200,2026-08-25T23:55:11.976+07:00,95311375525700,95311323017400,52.508
38,1787676912135450700,2026-08-25T23:55:12.135+07:00,95311502559800,95311502360100,0.200
39,1787676912286442000,2026-08-25T23:55:12.286+07:00,95311629367500,95311628246500,1.121
40,1787676912402190800,2026-08-25T23:55:12.402+07:00,95311802583800,95311810279400,7.696
41,1787676912537529000,2026-08-25T23:55:12.537+07:00,95311925109900,95311929500200,4.390
42,1787676912683800800,2026-08-25T23:55:12.683+07:00,95312046948800,95312038508000,8.441
43,1787676912814202100,2026-08-25T23:55:12.814+07:00,95312208093600,95312169241100,38.852
44,1787676912945562200,2026-08-25T23:55:12.945+07:00,95312297809100,95312284904800,12.904
45,1787676913099838900,2026-08-25T23:55:13.099+07:00,95312471626900,95312474409300,2.782
46,1787676913241983500,2026-08-25T23:55:13.241+07:00,95312594485500,95312594644600,0.159
47,1787676913402250300,2026-08-25T23:55:13.402+07:00,95312771294700,95312771090700,0.204
48,1787676913520467400,2026-08-25T23:55:13.520+07:00,95312890169500,95312895836500,5.667
49,1787676913652535900,2026-08-25T23:55:13.652+07:00,95313010930500,95313009049000,1.881
50,1787676913794936000,2026-08-25T23:55:13.794+07:00,95313133627100,95313128639100,4.988
51,1787676913939154100,2026-08-25T23:55:13.939+07:00,95313313519000,95313309228000,4.291
52,1787676914087559400,2026-08-25T23:55:14.087+07:00,95313416705100,95313427013400,10.308
53,1787676914270187900,2026-08-25T23:55:14.270+07:00,95313598762600,95313605614800,6.852
54,1787676914401701000,2026-08-25T23:55:14.401+07:00,95313768612900,95313786803700,18.191
55,1787676914548878500,2026-08-25T23:55:14.548+07:00,95313930445100,95313907789500,22.656
56,1787676914658902900,2026-08-25T23:55:14.658+07:00,95314059316500,95314029259300,30.057
57,1787676914788184300,2026-08-25T23:55:14.788+07:00,95314140274000,95314144566300,4.292
58,1787676914923227300,2026-08-25T23:55:14.923+07:00,95314303093900,95314273898400,29.195
59,1787676915080869100,2026-08-25T23:55:15.080+07:00,95314432951500,95314446451500,13.500
60,1787676915230687400,2026-08-25T23:55:15.230+07:00,95314605521300,95314567150300,38.371
61,1787676915367573800,2026-08-25T23:55:15.367+07:00,95314723038600,95314742212000,19.173
62,1787676915496711600,2026-08-25T23:55:15.496+07:00,95314900495400,95314861497300,38.998
63,1787676915617924100,2026-08-25T23:55:15.617+07:00,95314965308300,95314985561000,20.253
64,1787676915743934800,2026-08-25T23:55:15.743+07:00,95315115445700,95315102757700,12.688
65,1787676915874243200,2026-08-25T23:55:15.874+07:00,95315230128900,95315222154700,7.974
66,1787676916002268500,2026-08-25T23:55:16.002+07:00,95315398746500,95315403275500,4.529
67,1787676916116411700,2026-08-25T23:55:16.116+07:00,95315482936500,95315462905900,20.031
68,1787676916238553900,2026-08-25T23:55:16.238+07:00,95315613826700,95315582306200,31.520
69,1787676916373912800,2026-08-25T23:55:16.373+07:00,95315739011000,95315762057200,23.046
70,1787676916542770600,2026-08-25T23:55:16.542+07:00,95315861190200,95315884481500,23.291
71,1787676916657173900,2026-08-25T23:55:16.657+07:00,95316031811300,95316002755200,29.056
72,1787676916775353400,2026-08-25T23:55:16.775+07:00,95316168056000,95316120412400,47.644
73,1787676916914991900,2026-08-25T23:55:16.914+07:00,95316278953200,95316252804500,26.149
