frame_idx,total_processing_ms
1,67.053
2,49.103
3,99.181
4,65.306
5,88.340
6,81.297
7,131.701
8,76.489
9,84.460
10,79.914
11,97.802
12,89.581
13,109.606
14,72.829
15,101.515
16,88.327
17,92.149
18,123.633
19,128.127
20,109.162
21,89.195
22,88.707
23,95.516
24,97.468
25,105.747
26,75.308
27,95.670
28,106.419
29,99.773
30,130.212
31,98.870
32,99.412
33,98.882
34,121.203
35,88.262
36,90.892
37,96.039
38,127.524
39,112.139
40,84.524
41,101.335
42,115.798
43,97.739
44,100.087
45,121.719
46,107.815
47,123.177
48,89.406
49,108.501
50,108.886
51,106.438
52,119.191
53,142.701
54,96.504
55,111.969
56,79.584
57,104.687
58,101.921
59,127.232
60,112.440
61,109.047
62,92.001
63,89.356
64,94.482
65,104.264
66,94.078
67,89.708
68,98.746
69,106.092
70,134.454
71,84.877
72,88.334
73,109.732
74,93.766
75,109.532
76,138.612
77,111.576
78,110.643
79,84.579
80,87.211
81,94.662
82,128.235
83,105.140
84,84.809
85,102.527
86,103.359
87,101.799
88,75.777
89,113.612
90,110.880
91,103.769
92,86.900
93,97.768
94,105.256
95,118.535
96,75.568
97,92.962
98,111.414
99,108.901
100,106.958
101,95.912
102,105.050
103,105.754
104,95.639
105,94.579
106,122.940
107,110.459
108,86.511
109,87.953
110,125.477
111,103.343
112,99.274
113,86.631
114,107.027
115,102.077
116,87.181
117,105.376
118,102.898
119,95.792
120,109.586
121,105.275
122,113.974
123,103.834
124,84.148
125,87.696
126,84.243
127,99.717
128,80.575
129,90.949
130,75.631
131,96.626
132,117.023
133,80.307
134,76.948
135,87.760
136,93.665
137,111.860
138,88.974
139,109.154
140,82.488
141,84.078
142,105.072
143,85.259
144,91.967
145,86.578
146,79.997
147,85.892
148,84.285
149,106.696
150,85.510
151,76.424
152,81.962
153,78.982
154,88.007
155,84.541
156,80.670
157,92.438
158,94.190
159,130.694
160,91.629
161,97.965
162,114.322
163,101.405
164,96.069
165,100.661
166,111.485
167,103.123
168,96.622
169,104.151
170,114.272
171,113.454
172,96.259
173,114.453
174,100.923
175,107.541
176,98.955
177,104.030
178,103.951
179,107.495
180,102.153
181,143.273
182,87.892
183,92.743
184,85.323
185,90.828
186,120.770
187,106.663
188,91.635
189,90.310
190,106.235
191,113.332
192,96.836
193,85.086
194,100.966
195,104.302
196,106.788
197,89.803
198,88.583
199,96.520
200,85.470
201,91.242
202,86.424
203,125.503
204,100.944
205,92.089
206,79.181
207,101.438
208,98.580
209,112.805
210,78.355
211,83.336
212,85.212
213,108.471
214,93.837
215,81.889
216,75.195
217,88.295
218,95.945
219,95.481
220,78.755
221,90.317
222,98.928
223,93.437
224,81.396
225,80.567
226,116.445
227,109.270
228,119.157
229,77.074
230,94.032
231,104.819
232,95.547
233,78.333
234,83.774
235,101.651
236,89.729
237,78.156
238,102.833
239,81.882
240,104.928
241,96.501
242,88.077
243,79.704
244,77.770
245,124.973
246,97.084
247,74.675
248,87.041
249,84.333
250,101.966
251,103.889
252,75.354
253,82.723
254,87.049
255,111.981
